GUM_academic_exposure-1	Introduction
GUM_academic_exposure-2	Research on adult-learned second language (L2) has provided considerable insight into the neurocognitive mechanisms underlying the learning and processing of L2 grammar [1] – [11].
GUM_academic_exposure-3	Of interest here, studies suggest that, despite the difficulties in acquiring L2 grammar, adult learners can approximate native-like levels of use and neurocognitive processing [12] – [15].
GUM_academic_exposure-4	However, it is not enough to have attained such native-like levels.
GUM_academic_exposure-5	Crucially, it is also desirable to retain them, even in the absence of continued practice or exposure to the L2.
GUM_academic_exposure-6	In fact, substantial periods (months to years) of limited or no exposure following L2 training are not uncommon, and may even be the norm [16].
GUM_academic_exposure-7	Such a scenario may be found in different situations, including when one studies a language in a classroom and then stops taking classes [17], [18] and when one is immersed in a foreign language setting and then moves away [19].
GUM_academic_exposure-8	In the present study, we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar: that is, whether a substantial period of no exposure leads to decreased proficiency and / orless native-like neural processes (“use it or lose it” [20]), no such changes, or perhaps whether even higher proficiency and / ormore native-like processing may be observed.
GUM_academic_exposure-9	Additionally, we test whether any such outcomes might vary as a function of the type of L2 training, in particular between classroom-like and immersion-like contexts.
GUM_academic_exposure-10	Previous Research
GUM_academic_exposure-11	We are aware of six studies designed to investigate the effects of a substantial period of limited exposure following adult L2 training [17], [18], [21] – [24], all of which were restricted to the examination of behavioral (performance) outcomes.
GUM_academic_exposure-12	(Note that we do not consider case studies, purely observational data, or research on L2s acquired by children; for a comprehensive review, see [16]).
GUM_academic_exposure-13	The six studies tested L2 learners after periods of 1 month to 50 years of limited L2 exposure, mainly on general language skills [17], [18], [21], [23], [24], though also on more specific paradigms meant to target aspects of grammatical abilities [17], [18] or lexical abilities [22], [23].
GUM_academic_exposure-14	These language measures were compared in most studies to the same measures in a different set of subjects who had not experienced a period of limited exposure [17], [18], [22], [23], or to retrospective ratings of the same subjects [21], with only one longitudinal study testing the same subjects before and after a period of limited exposure [24].
GUM_academic_exposure-15	Across the studies, the periods of limited exposure followed either classroom training [17], [18], [22], [24] or mixed classroom and immersion training [21], [23], [24].
GUM_academic_exposure-16	The training lasted varying lengths of time, apparently usually in the range of a few years, and resulted in seemingly varying proficiency levels (though not directly measured, except by [24]) prior to the period of limited exposure.
GUM_academic_exposure-17	Overall, the results of the six studies have been taken to suggest the following.
GUM_academic_exposure-18	A period of limited exposure generally leads to attrition (loss) of L2 performance or knowledge [17], [18], [21], [23].
GUM_academic_exposure-19	Such loss has been observed after as little as a few months of limited exposure, e.g., after a 1 - 7month [23] or 6 month delay [21], as well as after 2 years [18], though in one case it was observed only by 3 - 5years, and not earlier [17].
GUM_academic_exposure-20	Although attrition may take place within the first few years, some studies suggest that it then appears to level off, with no further losses occurring [17], [18].
GUM_academic_exposure-21	Higher levels of proficiency (or exposure) may be associated with less attrition [17], [18], [21], [23] or even with no observed losses [21].
GUM_academic_exposure-22	Moreover, one study found no changes at all in performance, across proficiency levels, after either 2 or 4 years of limited exposure [22].
GUM_academic_exposure-23	Finally, in some cases a gain in performance has been observed: after 1.5 years of limited exposure in one study, particularly for L2 learners with immersion as well as classroom training [24], and in another study after 2 years, though only for some abilities, such as listening and reading comprehension [18].
GUM_academic_exposure-24	It remains unclear what might explain such gains, which have been attributed to motivation and to L2 experience during the period of ostensibly limited exposure [24], or to factors related to general maturation, cognitive development, or continued academic training [18].
GUM_academic_librarians-1	Digital Humanities Clinics -
GUM_academic_librarians-2	Leading Dutch Librarians into DH
GUM_academic_librarians-3	Michiel Cock m.p.cock@vu.nl Vrije Universiteit Amsterdam, the Netherlands
GUM_academic_librarians-4	Lotte Wilms lotte.wilms@kb.nl National Library of the Netherlands, the Netherlands
GUM_academic_librarians-5	In 2015, an initiative was started to set up a Dutch speaking DH+Lib community in the Netherlands and Belgium, based on the example of the American communal space of librarians, archivists, LIS graduate students, and information specialists to discuss topics ‘Where the Digital Humanities and Libraries meet’.
GUM_academic_librarians-6	At the initial meeting it became apparent that most participants were there to learn more about digital humanities and were not (yet) in the situation where they were able to offer expertise on the subject.
GUM_academic_librarians-7	On the administrative level, the directors of the libraries participating in the consortium of Dutch academic libraries (UKB) also expressed the wish that librarians become more fluent in DH.
GUM_academic_librarians-8	A year later, the National Library of the Netherlands (Koninklijke Bibliotheek), and the University Library of the Vrije Universiteit Amsterdam again concluded that librarians at their institutes who wanted to get involved in DH needed more training to adequately support researchers and students in this field.
GUM_academic_librarians-9	Therefore both institutes joined forces to develop a set of clinics on DH for librarians.
GUM_academic_librarians-10	The two institutes were later joined by the Leiden University Libraries.
GUM_academic_librarians-11	We see this as the ideal opportunity to provide these educative sessions not only to our own librarians, but also to the academic librarians of other Dutch research libraries.
GUM_academic_librarians-12	In essence, we want to teach our country’s librarians the ins and outs of DH in order for them to take up their natural role of facilitating and supporting research and ideally become the research partner needed in DH projects.
GUM_academic_librarians-13	The aim of these clinics is to provide basic methodological competencies and technical skills in DH, for a diverse group of librarians, consisting of both subject and technical librarians with basic technical skills.
GUM_academic_librarians-14	The content of these sessions should enable them to provide services to researchers and students, identify remaining gaps in knowledge or skills that they could address by self-directed learning and (perhaps) to automate their daily library work.
GUM_academic_librarians-15	We are not setting out to turn them into programmers or data crunchers, but want to boost their knowledge level to where they feel comfortable providing information about DH projects, follow the literature and research, follow online tutorials and hopefully take up the challenge of finishing this professional development by engaging with the DH community.
GUM_academic_librarians-16	In order to design this curriculum we follow a four step approach with a Working Out Loud - principle(Williams, 2010):
GUM_academic_librarians-17	Desk research about what being a DH librarian entails (e.g. Hartsell-Gundy et al., 2015; Mulligan, 2016; also see the Zotero library of the LIBER Digital Humanities working group);
GUM_academic_librarians-18	Identify possible subjects, based on experience, a comparison of existing teaching material related to DH (e.g. The Programming Historian, the Digital Scholarship Training Programme at the British Library and Columbia University's Developing Librarian project) and the TaDiRAH taxonomy of research activities;
GUM_academic_librarians-19	Get feedback from researchers on possible subjects, based on the knowledge and skills they feel librarians need;
GUM_academic_librarians-20	Get feedback from librarians on possible subjects, based on already known gaps in their knowledge and skills.
GUM_academic_librarians-21	With these in hand, we will design the curriculum of clinics, based on the method of' constructive alignment' (Biggs et al., 2011), to make sure that the intended learning objectives and the teaching / learningactivities stay aligned.
GUM_academic_librarians-22	Our plan is to organize a maximum of 6 clinics, each one full day.
GUM_academic_librarians-23	Each day starts with one or more lectures by researchers, that address the conceptual knowledge needed.
GUM_academic_librarians-24	The afternoon sessions will be devoted to the hands-on training of skills, following the Library Carpentry model as closely as possible.
GUM_academic_librarians-25	By having researchers provide the lecture sessions, we hope to fuel the enthusiasm of the librarians with the inspiration of direct contact with researchers and to provide access to a network within and across universities.
GUM_academic_librarians-26	With these clinics, we hope to initiate a stream of DH activities in Dutch universities, making access to support easier for new digital scholars.
GUM_academic_librarians-27	The poster at DH2017 will present the curriculum, its position in the international context and offer the lessons learned from both the design process and the first clinics.
